No,Pasar,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Tertinggi,Rata-Rata,Terendah
1,Pasar Induk Kramat Jati,24000,25000,23500,21000,20000,21000,20000,19000,18000,19000,20000,21000,19000,20000,20000,18000,18000,17000,17000,17000,14000,13000,12000,13000,12000,12000,13000,12000,13000,14000,25000,17517,12000
2,Pasar Senen Blok III - VI,30000,30000,30000,30000,30000,30000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,38000,30000
3,Pasar Jembatan Merah,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,37333,35000
4,Pasar Sunter Podomoro,44000,44000,44000,44000,46000,46000,46000,43000,43000,43000,42000,44000,43000,43000,43000,42000,41000,42000,43000,43000,41000,42000,37000,41000,41000,36000,42000,38000,38000,37000,46000,42067,36000
5,Pasar Rawa Badak,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,34833,30000
6,Pasar Grogol,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,25000,25000,25000,25000,25000,25000,25000,25000,25000,35000,32000,25000
7,Pasar Glodok,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,40000,37667,30000
8,Pasar Minggu,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,40000,36000,30000
9,Pasar Mayestik,55000,55000,48000,48000,45000,45000,45000,45000,45000,45000,45000,42000,42000,42000,42000,42000,42000,42000,40000,40000,40000,40000,40000,40000,40000,37000,37000,37000,37000,37000,55000,42667,37000
10,Pasar Pramuka,45000,45000,45000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,45000,39833,35000
11,Pasar Kramat Jati,50000,50000,50000,50000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,40000,40000,50000,45333,40000
12,Pasar Jatinegara,40000,35000,35000,40000,30000,35000,40000,40000,30000,35000,35000,30000,35000,35000,30000,35000,35000,35000,30000,30000,30000,30000,35000,35000,35000,25000,20000,30000,30000,30000,40000,33000,20000
13,Pasar Perumnas Klender,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,30000,35000,40000,35000,35000,35000,35000,35000,35000,30000,25000,25000,25000,30000,30000,35000,35000,30000,40000,29500,25000
14,Pasar Pulo Gadung,35000,35000,35000,35000,35000,36000,35000,35000,35000,35000,35000,35000,35000,35000,35000,34000,35000,35000,35000,35000,34000,35000,35000,35000,35000,35000,35000,35000,35000,35000,36000,34967,34000
15,Pasar Pal Meriam,36000,36000,36000,25000,25000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,26000,26000,26000,26000,26000,24000,24000,24000,36000,28833,24000
16,Pasar Ciplak,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
17,Pasar Cijantung,45000,45000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,45000,35167,30000
18,Pasar Cibubur,34000,35000,34000,34000,35000,35000,35000,35000,35000,35000,34000,35000,35000,32000,30000,35000,35000,35000,35000,35000,35000,35000,34000,35000,35000,30000,30000,28000,30000,30000,35000,33667,28000
19,Pasar Ujung Menteng,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,36000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,34200,30000
20,Pasar Tanah Abang Blok A-G,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,40000,37167,35000
21,Pasar Petojo Ilir,45000,40000,40000,40000,40000,40000,35000,35000,35000,40000,40000,35000,35000,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,30000,30000,35000,35000,35000,45000,37000,30000
22,Pasar Gondangdia,35000,35000,35000,35000,35000,35000,30000,30000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,35000,35000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,35000,31167,25000
23,Pasar Paseban,30000,35000,35000,35000,35000,35000,30000,30000,30000,30000,35000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,35000,30000,30000,30000,30000,30000,40000,31500,30000
24,Pasar Cempaka Putih,35000,35000,35000,31000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,32000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,35000,30600,30000
25,Pasar Johar Baru,40000,40000,40000,40000,40000,40000,30000,35000,40000,35000,35000,40000,40000,30000,35000,35000,35000,35000,35000,35000,25000,30000,30000,30000,30000,30000,30000,30000,30000,30000,40000,34333,25000
26,Pasar Baru Metro Atom,40000,40000,40000,40000,30000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,35000,35000,35000,40000,38833,30000
27,Pasar Kebayoran Lama,30000,34000,34000,34000,38000,38000,35000,38000,35000,35000,37000,37000,37000,37000,38000,36000,37000,37000,35000,35000,37000,37000,35000,35000,35000,28000,28000,28000,28000,28000,38000,34533,28000
28,Pasar Cipete,35000,30000,30000,30000,30000,30000,30000,35000,35000,35000,35000,30000,30000,30000,30000,32000,35000,35000,37000,37000,35000,35000,32000,32000,35000,35000,35000,35000,35000,30000,37000,33000,30000
29,Pasar Pesanggrahan,38000,38000,48000,48000,38000,40000,38000,38000,36000,36000,36000,36000,40000,36000,40000,35000,35000,35000,35000,35000,40000,40000,35000,30000,30000,30000,28000,30000,30000,30000,48000,36133,28000
30,Pasar Pondok Labu,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
31,Pasar Lenteng Agung,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,30000,30000,30000,30000,35000,34333,30000
32,Pasar Mampang Prapatan,40000,40000,40000,40000,40000,40000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,30000,30000,30000,30000,25000,25000,25000,25000,40000,34533,25000
33,Pasar Tebet Barat,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45000,45000,45000,45000,45000,45000,45000,45000,45000,40000,40000,40000,40000,40000,45000,41500,40000
34,Pasar Rumput,40000,35000,40000,40000,40000,30000,35000,40000,35000,35000,35000,35000,35000,35000,35000,40000,40000,40000,35000,35000,30000,35000,30000,25000,30000,30000,30000,30000,28000,30000,40000,34433,25000
35,Pasar Tomang Barat,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,35000,35000,35000,45000,44000,35000
36,Pasar Cengkareng,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
37,Pasar Kalideres,40000,40000,40000,40000,40000,35000,35000,35000,35000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,25000,25000,25000,25000,25000,40000,36833,25000
38,Pasar Pos Pengumben,45000,45000,45000,45000,45000,45000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,45000,37667,30000
39,Pasar Pal Merah,37000,37000,37000,37000,35000,37000,40000,40000,35000,35000,35000,38000,35000,38000,35000,35000,38000,38000,37000,37000,30000,30000,25000,26000,26000,32000,30000,25000,30000,26000,40000,33867,25000
40,Pasar Jembatan Lima,33000,35000,35000,33000,27000,28000,32000,27000,30000,28000,28000,28000,30000,30000,28000,28000,28000,28000,28000,28000,28000,28000,25000,25000,25000,25000,28000,25000,15000,15000,35000,27700,15000
41,Pasar Kelapa Gading,38000,38000,38000,38000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,33000,33000,33000,30000,25000,25000,25000,25000,25000,25000,25000,25000,38000,32367,25000
42,Pasar Pademangan Timur,40000,40000,40000,40000,40000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,28000,27000,27000,27000,27000,25000,25000,25000,27000,25000,40000,32933,25000
43,Pasar Pluit,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,40000,40000,40000,45000,44500,40000
44,Pasar Kalibaru,35000,35000,35000,35000,30000,30000,30000,30000,35000,30000,30000,30000,35000,35000,35000,30000,30000,30000,30000,30000,30000,25000,25000,25000,25000,25000,25000,25000,25000,25000,35000,29833,25000
